section,count
招商路(蛇口西段),38480
荔园路(蛇口西段),31735
四海路,26361
金世纪路,5748
海月路(东段),6913
创业路(南油段),24483
后海大道辅道(蛇口北段),5165
工业九路,30345
荔园路(蛇口东段),28070
南新路,14296
登良路,30073
海德二道（南油段）,12992
华明路,1989
后海大道辅道(后海段),36981
学府路(前海段),8790
龙城路,18266
常兴路,75693
文心一路,11489
中心路(后海湾段),47829
南头街,20967
文心二路,34117
创业路(后海湾段),6147
海德一道(后海湾段),2236
文心四路,32042
文心三路,15013
文心五路,17902
文心六路,56811
创业路辅道,24667
海德一道,43207
高新南环路,74343
海德二道,43526
海德三道,40516
科技南路,40843
高新南十一道,26512
科技南一路,12978
高新南九道,9693
高新南七道,14821
科技南十路,15991
科技南十二路,8224
高新南十道,15991
高新南五道,6672
高新南三道,16658
高新南四道,12426
